Label,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,WinRate,Periods,Avg_Turnover,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio,Cost_Bps
IC-weight,0.15048528835771346,0.19868882660891835,0.7573918016734554,-0.34602792491824075,0.5699152542372882,472,0.3417372881355932,0.016749703703405894,0.12165039980097281,0.10537368820178634,1.1544665644427023,30.0
IC-weight,0.09265254721084815,0.19868705464037856,0.46632402588355976,-0.3854508493005582,0.5423728813559322,472,0.3417372881355932,0.016749703703405894,0.06523296594183181,0.10558925451308304,0.6177992849996788,60.0
IC-weight,0.019942398408320017,0.19874691297300115,0.10034067000089254,-0.4591349409384815,0.5169491525423728,472,0.3417372881355932,0.016749703703405894,-0.005695166140465724,0.1059927100850785,-0.05373167773419807,100.0
IC-weight size-neutral,0.13745771626028702,0.1987437377944117,0.6916329429331688,-0.3141988798251957,0.565677966101695,472,0.34796610169491526,0.016749703703405894,0.1094546074449061,0.10114356545356053,1.082170743675845,30.0
IC-weight size-neutral,0.07925666258897301,0.19872013486677,0.3988355917839422,-0.338307784205063,0.5444915254237288,472,0.34796610169491526,0.016749703703405894,0.05264370125299345,0.10141057061829316,0.5191145354180385,60.0
IC-weight size-neutral,0.006160623913502583,0.1987619133364351,0.03099499199866717,-0.4060363264425403,0.5211864406779662,472,0.34796610169491526,0.016749703703405894,-0.01870310084028648,0.1019084349149537,-0.1835284866840993,100.0
Ridge,0.36469392462976824,0.27215229495069165,1.3400361907506355,-0.3092969521456924,0.5848563968668408,383,0.3563446475195823,0.028580753767303957,0.32851498261311374,0.1254878197358728,2.6179033415719006,30.0
Ridge,0.2934208414812354,0.2722541400819241,1.0777461139541973,-0.32565271226233206,0.5796344647519582,383,0.3563446475195823,0.028580753767303957,0.2591865603695436,0.1253519636970429,2.0676705232632737,60.0
Ridge,0.20402010954807026,0.2724481622772374,0.7488401017014891,-0.3534156753106893,0.5587467362924282,383,0.3563446475195823,0.028580753767303957,0.17222112539766465,0.12529738550197295,1.3744989546885065,100.0
Ridge size-neutral,0.2686582151445327,0.2640675353381648,1.0173844914350758,-0.3316751982711259,0.5587467362924282,383,0.4424543080939948,0.028580753767303957,0.2333911694744666,0.12033696331485853,1.9394802980344839,30.0
Ridge size-neutral,0.18678854223178587,0.26420812268466015,0.7069750177768882,-0.36578697298415697,0.5456919060052219,383,0.4424543080939948,0.028580753767303957,0.15383317912215433,0.12036232424665201,1.2780841520384094,60.0
Ridge size-neutral,0.08561415602630507,0.26447887851278895,0.32370885912602343,-0.40866249420411016,0.5221932114882507,383,0.4424543080939948,0.028580753767303957,0.05551240841709748,0.12057921945841196,0.46038122212462845,100.0
LightGBM,0.40707757521083243,0.30644929844921887,1.3283684357276755,-0.28452429722906114,0.577023498694517,383,0.5796344647519582,0.028580753767303957,0.37912524116367075,0.14353184689945792,2.6414015380798572,30.0
LightGBM,0.2895477487474343,0.30652138370498644,0.9446249564960578,-0.31180354867061955,0.5587467362924282,383,0.5796344647519582,0.028580753767303957,0.2639606325299788,0.1436961485428422,1.8369360292999113,60.0
LightGBM,0.14769023963070138,0.30663890401056826,0.4816422107535685,-0.46487733827437605,0.5352480417754569,383,0.5796344647519582,0.028580753767303957,0.12495449280241488,0.14396058396240763,0.8679771182023283,100.0
